1	1.177	8.797
3	5	4.103
2	1.398	2.678
1	1.177	8.798
2	1.399	2.678
3	5	4.104
1	1.176	8.8
2	1.397	2.677
3	5	4.104
1	1.174	8.802
2	1.394	2.677
3	5	4.104
1	1.172	8.805
2	1.391	2.678
3	5	4.105
1	1.171	8.805
3	5	4.106
2	1.387	2.678
1	1.169	8.806
3	5	4.104
2	1.384	2.676
1	1.168	8.807
2	1.381	2.676
3	5	4.103
1	1.167	8.807
2	1.38	2.675
3	5	4.104
1	1.167	8.808
3	5	4.105
2	1.382	2.676
1	1.169	8.81
2	1.381	2.677
3	5	4.105
1	1.17	8.812
2	1.38	2.675
3	5	4.106
1	1.171	8.814
2	1.383	2.676
3	5	4.106
1	1.171	8.815
2	1.385	2.676
3	5	4.106
1	1.171	8.816
2	1.385	2.675
3	5	4.107
1	1.171	8.817
3	5	4.106
2	1.385	2.675
1	1.173	8.818
2	1.385	2.675
3	5	4.106
1	1.175	8.82
3	5	4.106
2	1.387	2.674
1	1.176	8.822
3	5	4.107
2	1.385	2.673
1	1.178	8.823
2	1.385	2.674
3	5	4.108
1	1.179	8.825
2	1.385	2.675
3	5	4.11
1	1.177	8.826
2	1.383	2.674
3	5	4.109
1	1.174	8.826
2	1.382	2.674
3	5	4.109
1	1.174	8.83
2	1.381	2.675
3	5	4.109
1	1.173	8.831
2	1.381	2.675
3	5	4.109
1	1.172	8.831
2	1.382	2.674
3	5	4.11
1	1.171	8.831
2	1.382	2.674
3	5	4.11
1	1.169	8.831
3	5	4.11
2	1.384	2.674
1	1.167	8.83
2	1.385	2.674
3	5	4.11
1	1.165	8.83
2	1.384	2.674
3	5	4.109
1	1.164	8.829
2	1.384	2.674
3	5	4.108
1	1.163	8.828
3	5	4.108
2	1.385	2.674
1	1.163	8.828
2	1.386	2.674
3	5	4.108
1	1.163	8.828
2	1.386	2.675
3	5	4.108
1	1.164	8.83
2	1.387	2.676
3	5	4.108
2	1.388	2.677
3	5	4.109
1	1.164	8.832
1	1.164	8.838
2	1.388	2.678
3	5	4.111
1	1.163	8.84
2	1.388	2.678
3	5	4.112
1	1.162	8.841
2	1.389	2.679
3	5	4.113
1	1.161	8.843
2	1.387	2.679
3	5	4.113
1	1.16	8.844
2	1.387	2.677
3	5	4.114
1	1.159	8.843
2	1.386	2.677
3	5	4.114
1	1.158	8.843
2	1.385	2.675
3	5	4.116
1	1.158	8.842
2	1.385	2.676
3	5	4.117
1	1.158	8.842
2	1.385	2.676
3	5	4.119
1	1.159	8.843
2	1.386	2.676
3	5	4.12
1	1.16	8.843
3	5	4.12
2	1.386	2.677
1	1.16	8.845
3	5	4.122
2	1.386	2.677
1	1.161	8.847
2	1.388	2.678
3	5	4.123
1	1.16	8.85
3	5	4.123
2	1.387	2.676
1	1.161	8.851
2	1.386	2.675
3	5	4.122
1	1.161	8.853
3	5	4.123
2	1.387	2.677
1	1.16	8.854
2	1.387	2.677
3	5	4.123
1	1.161	8.853
2	1.387	2.676
3	5	4.123
1	1.162	8.854
2	1.389	2.677
3	5	4.124
1	1.162	8.856
2	1.388	2.679
3	5	4.126
1	1.162	8.859
3	5	4.126
2	1.388	2.68
1	1.163	8.86
2	1.389	2.681
3	5	4.127
1	1.165	8.862
2	1.388	2.681
3	5	4.128
1	1.165	8.863
2	1.389	2.681
3	5	4.126
1	1.167	8.865
2	1.388	2.681
3	5	4.127
1	1.168	8.866
2	1.388	2.681
3	5	4.127
1	1.169	8.867
3	5	4.126
2	1.392	2.68
1	1.171	8.867
2	1.394	2.68
3	5	4.125
1	1.172	8.868
2	1.396	2.679
3	5	4.125
1	1.174	8.867
2	1.397	2.679
3	5	4.125
1	1.172	8.863
2	1.398	2.679
3	5	4.125
1	1.174	8.864
2	1.399	2.68
3	5	4.126
1	1.176	8.866
2	1.4	2.681
3	5	4.126
1	1.179	8.867
2	1.401	2.682
3	5	4.125
1	1.179	8.867
2	1.403	2.683
3	5	4.125
1	1.179	8.867
3	5	4.124
2	1.403	2.683
1	1.179	8.867
3	5	4.123
2	1.401	2.683
1	1.179	8.867
3	5	4.121
2	1.4	2.681
1	1.178	8.867
2	1.4	2.681
3	5	4.119
1	1.178	8.866
2	1.399	2.681
3	5	4.117
1	1.177	8.866
2	1.397	2.681
3	5	4.117
2	1.397	2.681
1	1.174	8.863
3	5	4.115
1	1.173	8.86
3	5	4.112
2	1.396	2.68
1	1.172	8.857
2	1.397	2.681
3	5	4.113
1	1.171	8.853
2	1.398	2.68
3	5	4.112
1	1.172	8.849
2	1.399	2.679
3	5	4.111
1	1.172	8.846
2	1.401	2.679
3	5	4.111
1	1.173	8.845
3	5	4.111
2	1.403	2.679
1	1.173	8.844
2	1.401	2.678
3	5	4.109
1	1.173	8.844
2	1.403	2.678
3	5	4.108
1	1.174	8.843
2	1.403	2.678
3	5	4.107
1	1.175	8.842
2	1.405	2.679
3	5	4.107
1	1.175	8.841
3	5	4.107
2	1.406	2.678
1	1.176	8.841
3	5	4.108
2	1.407	2.679
1	1.175	8.839
2	1.407	2.679
3	5	4.108
1	1.174	8.837
3	5	4.11
2	1.406	2.679
2	1.404	2.679
1	1.174	8.835
3	5	4.11
1	1.174	8.836
3	5	4.112
2	1.403	2.68
1	1.173	8.836
2	1.401	2.68
3	5	4.112
1	1.171	8.837
2	1.402	2.68
3	5	4.113
1	1.174	8.838
